Proposal ID,Snapshot ID,Author,Title,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Vesting Contract,Vesting Released Amount,Vesting Releasable Amount,Vesting Token Contract Balance,Vesting Total Amount,Vesting Start At,Vesting Finish At,Enacting Transaction,Transaction Date,Transaction Amount
691c8e60-f3c8-11eb-ab97-bfa89f33c258,QmWUvgjjzsVHMuArTJXWvzabP9NwTgo8tUZLF5bNnWvP1d,0x70b71b98c8b95643462c68e0a396d0a6d15337bf,Decentraland <> Rarible Protocol Integration,enacted,2021-08-02T19:32:00.742Z,2021-08-09T19:32:00.742Z,1000000,1274248.0339189114,Platform Contributor,Tier 3,5000,0x2fa66abee1b3b6afe5c14566ed4fdbadaf982b56,[object Object],0xEb5c2325351C3B5eB0d6aeEb40D6165B88bDf793,6666.66666667,0,0,6666.66666667,Mon Aug 09 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Nov 07 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
1241d890-f0c9-11eb-ba81-318d080cd8d0,QmW1Ua2PnnTcqFPmXFa1MFtvrnfCQinbBEb1RC2cLd7Cyq,0x846fc2e54474805bb8bf06a39830fbbb1811c17d,TJ Saucier's Rap World,rejected,2021-07-29T23:59:00.033Z,2021-08-05T23:59:00.033Z,1000000,282255.7533669175,Community,Tier 3,5000,0x846Fc2E54474805BB8bf06A39830fBBb1811C17D,,,,,,,,,,,
d7e09840-ee10-11eb-ba81-318d080cd8d0,QmfNjwD7kYmrtBvN9cJREa4xY1T66GSr95e2ydNYE5YB3w,0xceb9e10fdc43140842be52ed2815488a46c9f6cb,"For making a wearable Design ""Precious Item""",rejected,2021-07-26T12:56:00.364Z,2021-08-02T12:56:00.364Z,1000000,145628.55583596017,Community,Tier 1,500,0xCEB9E10fDC43140842be52eD2815488a46c9F6cb,,,,,,,,,,,
93194990-eddf-11eb-ba81-318d080cd8d0,QmVsWAa3tsJQjmpELUAMox5cbecyeH5kUi8L8vEXCDEfL7,0xefd13f676744a527b1adce0b3c05834a54640ca8,The Circulating Rebate/Referral Voucher and Perpetual Gratuity Week,rejected,2021-07-26T07:03:00.633Z,2021-08-02T07:03:00.633Z,1000000,131205.32167074198,Community,Tier 3,5000,0xeFd13F676744a527B1adce0b3c05834a54640ca8,,,,,,,,,,,
33993260-ec0d-11eb-ba81-318d080cd8d0,QmRpzyGoT26YSfb3J181GyCBhDnhaWCNADwWbLsm9wVcWG,0xe264886feb92e9c6a92fa196dfdc09d330b66c17,Is it possible to create marketing NFTs for content in decentraland like crowds?,rejected,2021-07-23T23:25:00.934Z,2021-07-30T23:25:00.934Z,1000000,369706.21607854805,Platform Contributor,Tier 3,1500,0x23Cf8AB359e16929944F1Aa8De0D3c5dCD3A520e,,,,,,,,,,,
9d3fa020-e945-11eb-93d6-8b93cd7e61d4,QmZnJaG5WLakS8VeZgFuKK5H2cWcnmSHjWVL4GE72aF2NR,0x716954738e57686a08902d9dd586e813490fee23,Hiroto Kais Decentraland Builder Tutorials,enacted,2021-07-20T10:31:00.515Z,2021-07-27T10:31:00.515Z,1000000,1285673.6665357577,Content Creator,Tier 1,1500,0x716954738E57686A08902d9dd586e813490feE23,[object Object],,,,,,,,0x85bd68abc7797169a52b0659542b189226ffd00c3546ec4a73b90f12df457dcd,2021-08-11T19:13:14Z,2124
883e32e0-e8be-11eb-93d6-8b93cd7e61d4,QmZZx6pThLnKfWGd5t4ujYha7PLWMqu98mtt1MtxpZgPJ3,0x59c0a6f97ecba25ca7b404815e5ca0cd99e642ba,Video Tutorials To Help Beginners Model/Upload Wearables on Decentraland!,rejected,2021-07-19T18:24:00.214Z,2021-07-26T18:24:00.214Z,1000000,1110723.737150059,Community,Tier 2,2500,0x59c0a6F97EcbA25CA7b404815E5CA0CD99E642bA,,,,,,,,,,,
76e8e960-e6a5-11eb-89c8-f9c6d1f05e5b,QmZJ9yavrKomLFD7pyrAdD1gnhMUy5YCzeRLwanN61SLTD,0x128dccf449d95b4c23decc98ecc1bc2126c99e19,Create an online dashboard showing advanced Decentraland stats,rejected,2021-07-17T02:19:00.390Z,2021-07-24T02:19:00.390Z,1000000,627107.7847766097,Community,Tier 2,3000,0x128dCcF449d95B4C23dECC98ecc1bC2126c99E19,,,,,,,,,,,
21921940-e34a-11eb-bb4e-e9e2ebbd7fce,Qmdm1g8fCbhA3sdw1z56fBBoTrAEfkkphr33AfwPJbJKAX,0x5468e3ee2344430437f95d349535a2db831eef50,We would like to provide headlines/video/tweets from The Associated Press,rejected,2021-07-12T19:48:00.525Z,2021-07-19T19:48:00.525Z,1000000,505457.01066256623,Content Creator,Tier 3,5000,0xeD5482409243385019Bb86b7A5d82C51E8552710,,,,,,,,,,,
cc7009f0-e08c-11eb-a20f-d75df7f87ed8,Qme7WQTK3Aw9LY59dpxqD3ZY6NmQTPegckZGGcorHq7FXx,0x05060fa97e54a812d1e15cec6c34e79f74ebd0b3,The New Babylon - An Exploration of New Metaverse City Prototype,enacted,2021-07-09T08:08:00.487Z,2021-07-16T08:08:00.487Z,1000000,1949672.6653620857,Content Creator,Tier 3,5000,0x05060Fa97e54a812d1E15cEc6c34e79f74eBD0b3,[object Object],0x7edB39B39F1b60C51c7d2559a2686733cEFc8EC2,8064.51612903,0,0,8064.51612903,Fri Jul 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Oct 14 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
