Proposal ID,Project ID,Snapshot ID,Author,Title,Type,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Enacting Transaction,Transaction Date,Transaction Amount,Done Updates,Late Updates,Missed Updates,Update Status,Project Health,Last Update,Next Update,Pending Updates
7e4f37c0-0e65-11ed-9d53-7b405ea02bcb,307a1356-fad7-4cd5-84fb-0f7bc581c2d6,bafkreih5aacszge74afyhqhfuw43r5uh6t5yynz3t4qxo7una3o4nbj22e,0x538ce85ccf6080cec960bc5341787691217c4d97,"CROSSVERSE: A cross-metaverse play, learn, explore-to-earn game experience",grant,enacted,2022-07-28T11:07:00.196Z,2022-08-11T11:07:00.195Z,2000000,6444374.089751639,Gaming,Tier 4,60000,0xf49056577a9266cd6CFd1B8f6ac151D9BB3671d7,,,,,12,0,1,done,onTrack,2023-12-09T01:15:01.981Z,,1
8a1e3180-0e3a-11ed-9d53-7b405ea02bcb,7de24258-7f7f-4fbf-81d6-3b38d2847c66,bafkreihorbdin7co6jdvptxa7hzjplu2zupon7suxq4z6vjb4bo45hjd4u,0x46c02de46629a2babe7c9ba1d9ebf0804d4f99aa,"Democratize Access to Decentraland for Renting, Marketing, and Hosting Events",grant,enacted,2022-07-28T06:00:00.648Z,2022-08-04T06:00:00.647Z,1000000,2229745.5305238403,Platform Contributor,Tier 3,5000,0x46c02dE46629a2bAbe7c9ba1D9EBF0804d4f99AA,,,,,3,0,0,done,onTrack,2022-10-31T11:22:56.108Z,,0
23813f00-0de8-11ed-9d53-7b405ea02bcb,82d34f4d-7927-4563-9201-7d5bbe07ba96,bafkreiaf7e7x633scyghtwqyi6dlhe5iamnlo7o3cffmzxg22gslklqi7y,0x7ab021aca91ceb3c45086894b03dcfac38031529,Self-Service Audio/Video Streaming,grant,enacted,2022-07-27T20:10:00.760Z,2022-08-10T20:10:00.760Z,4000000,6327392.6180849075,Platform Contributor,Tier 5,120000,0xBb626c562D5b89961Eb2a2519e49d97D132189F7,,,,,7,1,0,done,onTrack,2023-06-27T16:54:34.511Z,,0
66d76070-0d27-11ed-92a2-218eab5ea42b,7422a99e-8a25-4625-9b30-ab688de5dade,bafkreifyhjbq3m4vyob5r74r5les2wsbrrhyabdw55r2zwrdyxc3kxk23m,0xe400a85a6169bd8be439bb0dc9eac81f19f26843,Creation of DAO-Owned Data Aggregation Layer for Decentraland Core,grant,enacted,2022-07-26T21:10:00.863Z,2022-08-09T21:10:00.862Z,2000000,3868687.136637649,Platform Contributor,Tier 4,57300,0xe64581F067Cfdce58657E3c0F58175e638C30f2B,,,,,4,0,2,done,onTrack,2023-01-12T16:46:26.882Z,,2
99986a30-0cb5-11ed-92a2-218eab5ea42b,30593dce-31d3-4087-953a-6781dc7c8282,bafkreieck4ay7lsd26nbu7dlr2yyymy3ttb7bdu6fvc7odueq2vd3j3uiq,0x1e105bb213754519903788022b962fe2b9c4b263,Vueltta x NFT Show Europe: Art Installation to Increase Decentraland Engagement,grant,enacted,2022-07-26T07:36:00.387Z,2022-08-02T07:36:00.386Z,1000000,1416779.730958312,Content Creator,Tier 3,4600,0x1e105bb213754519903788022b962fe2B9C4B263,,,,,2,0,1,done,onTrack,2022-10-22T21:29:37.897Z,,1
858cd0a0-0c18-11ed-92a2-218eab5ea42b,f708573f-b732-42cb-9799-6291e0df101e,bafkreiavxgcsmvnk456jqgmbfsz6iv54wc7opvsfeqlw223jmmbdeg62si,0xb7c0dc404c2ce1b2226c709eca6d8479b1fb80dc,Develop new Low Latency Video Streaming components for SDK and builder.,grant,enacted,2022-07-25T12:51:00.770Z,2022-08-08T12:51:00.769Z,2000000,4106045.1508566476,Platform Contributor,Tier 4,48000,0xC8Fede4B21b462b1b5fEB0AcFC0513012B1795F8,,,,,4,1,1,done,onTrack,2023-01-13T21:27:39.844Z,,1
58233e80-0928-11ed-8306-41196474443d,e12b172d-4280-46ee-8a4e-3d76ce221348,bafkreiatgk7lvrboqs6jvznh7lg4t6cs5jmfatmb66izcpo6ghbo6vojne,0x5c4eab549a528bf15c47a01e174500010997235c,Decentraland's most popular QuizZone 2.0 🥳,grant,enacted,2022-07-21T19:07:00.040Z,2022-08-04T19:07:00.038Z,2000000,3225070.778905769,Gaming,Tier 4,58800,0xf49056577a9266cd6CFd1B8f6ac151D9BB3671d7,,,,,3,0,3,done,onTrack,2022-11-15T10:26:55.411Z,,3
81af5b00-02e6-11ed-8f44-ef1722f0509f,09474c57-a0a8-4e2b-b82c-cf0dad13ba58,bafkreidom4qq3yrvp4mlwwmk5jbjqhgrgc2fih67kt6lg5dh3t3vfjvyky,0xd11a019a70986bd607cbc1c1f9ae221c78581f49,Verified Partners Registry,grant,enacted,2022-07-13T20:00:00.984Z,2022-07-27T20:00:00.983Z,2000000,3285559.679389931,Community,Tier 4,49200,0x256874B9FD26cBf11a4E2DE5CFFE5a877603044d,,,,,4,3,0,done,onTrack,2023-03-02T21:29:35.144Z,,0
73b27280-fd23-11ec-a32a-859962cd3c29,ef067f3c-c356-45ea-a160-7a6edc01a00e,bafkreigyug5vkd6qzy3ory6fui7d2nzmrzeczsifaygbasqv4bduub3ltu,0x7bbd4eb693dd5b08e13c9da9d54d8ecd49d9b654,Decentraland Explorer Mobile App,grant,enacted,2022-07-06T12:02:00.840Z,2022-07-20T12:02:00.839Z,2000000,2675170.2370445025,Platform Contributor,Tier 4,32000,0x7bbD4Eb693Dd5B08e13c9da9d54D8eCD49d9b654,,,,,6,0,0,done,onTrack,2023-01-04T10:23:08.465Z,,0
18f3e990-f8b5-11ec-a32a-859962cd3c29,dc817b05-98fb-4759-adbe-6c5c569e3136,bafkreid4cajbvidpanfcz6h26uaewnqg2obgt4p2scifdtdsv4iyzu6554,0xbd03add5da0e173c67c9c1073ffba017147c42d4,DCL Highlights - Extension,grant,enacted,2022-06-30T20:42:00.306Z,2022-07-07T20:42:00.300Z,1000000,2302018.8995381948,Content Creator,Tier 2,3000,0xBD03aDd5da0e173C67C9C1073FFBA017147c42d4,MANA,0x6a05eb80bcf25f876f2ecee625682b50863884cc01de09ec33920e3160574c45,2022-07-14T20:39:17Z,3750,1,0,0,done,onTrack,2022-08-20T02:07:15.028Z,,0
