Date,Wallet,Network,Type,Tag,Amount,Token,USD Amount,USD Fee,Sender,Transfer From,Transfer To,Block,Hash,Contract
2024-02-27T02:47:06Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.125,MANA,0.067,0.029196171708000936,0xbdde11784c4bd80985b942958888ccf23697d0e7,0xbdde11784c4bd80985b942958888ccf23697d0e7,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54003126,0x0f5af86eac2d9f879516a649dd0037e51d1f83ec99170125afcbc827524bf175,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-27T01:25:01Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.0025,MANA,0.00134,0.01890175872188006,0xd516f6090bb79dafddb9eefd4488be9e8ce37411,0xd516f6090bb79dafddb9eefd4488be9e8ce37411,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54000816,0x3f4ef2481039646df1a3ae5715de8fb3e055b51806b96018234f258652b47326,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-27T00:30:47Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.125,MANA,0.067,0.03138348148697133,0xea749fd6ba492dbc14c24fe8a3d08769229b896c,0xea749fd6ba492dbc14c24fe8a3d08769229b896c,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53999287,0x40704b5a701be233943a188172e0061223af1d259efe1819e184bce2a6a853b0,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T23:26:34Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.01525045206712408,0x6a77883ed4e65a1df591fda2f5252fd7c548f198,0x6a77883ed4e65a1df591fda2f5252fd7c548f198,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53997520,0xd2ef68ec903006cb52165c7f55de4a69925a0ca78d40fe087085a174f872a4e2,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T23:00:43Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.015761303654552927,0x66b1488a32e21f2d2757713d16facd9d25ec977c,0x66b1488a32e21f2d2757713d16facd9d25ec977c,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53996804,0x3b7bc41e6e57c9203fd1607fe3c348c97088a5725174e5e0851df315d9441cff,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T22:43:25Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.01449391997734276,0xc82fd31500576f394b59be3b10c154b584ea6004,0xc82fd31500576f394b59be3b10c154b584ea6004,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53996340,0xfd70624b95983fd3d5b97b374bf0d2021de73aa95a04e9b872d63633f81d7016,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T22:29:58Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.1,MANA,0.05360000000000001,0.010023788656542864,0xba825fd4b94250d3d03b83e64605ba5903d20386,0xba825fd4b94250d3d03b83e64605ba5903d20386,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53995968,0x706d11a5255f306ae9c33e0b7b50d7cb893f47fa316118c9106486caba2bd40e,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T20:48:34Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.017447599457337436,0x082f2a8ea1d8e3ee24c20d12452b7e851ad0d5dd,0x082f2a8ea1d8e3ee24c20d12452b7e851ad0d5dd,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53993231,0x7fdbeda3a953a3663e90219eac4304ca471d12f4e0cf289dd2f4b9a212436fdd,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T20:29:00Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.021159975061771384,0xa24793319d07844ebbee32f76b41e85bf81321d4,0xa24793319d07844ebbee32f76b41e85bf81321d4,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53992678,0x1159395552ac379d7317474d5d78f0e9133a4e6e425399f40109fcca2a0861f8,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-26T20:09:07Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.201,0.03608397286745182,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,53992125,0x63d3b1acf8199b3bc70b48a8e46477818b614a3930c9733bc98dbe5e76337661,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
