Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,L1 Wearables VP,Rental VP,Has Delegated,Delegate,Has Delegators,Delegators Amount,Delegators,Avatar Preview
0x26e36db00a79f4a50b9e6eb24f651abec8570a03,8419.00955155156,119.00955155156173,8000,300,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x26e36db00a79f4a50b9e6eb24f651abec8570a03
0x154620ddfdcd6ab15dd9c1682386debad1eef536,1578.5041836072164,283.5041836072164,0,500,0,795,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x154620ddfdcd6ab15dd9c1682386debad1eef536
0xf5b054462ef5c4ce77feac7a5d805f162e140a80,19106.0887515874,6.088751587399768,18000,1100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xf5b054462ef5c4ce77feac7a5d805f162e140a80
0x7616e594f1832d0dc7aad3923967d76fd98416e2,2100.4023104899998,0.40231049,2000,100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x7616e594f1832d0dc7aad3923967d76fd98416e2
0xe062d5abbd68f1a91037fa2e918a4a24ad70bc76,600.00980612,0.00980612,0,400,0,200,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xe062d5abbd68f1a91037fa2e918a4a24ad70bc76
0x622f53d0ed07a0cc7ccb85237ba7d722a4c15784,12110,0,12000,100,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x622f53d0ed07a0cc7ccb85237ba7d722a4c15784
0x5abdc3cb826fc0277d642c9fb52fa76fe3abb4e7,19681.11675642672,2999.116756426719,16000,600,0,82,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x5abdc3cb826fc0277d642c9fb52fa76fe3abb4e7
0x02dcce9e0aa57881dd15d09ad904c6ff93f0c059,15350.61219630899,250.6121963089897,2000,13100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x02dcce9e0aa57881dd15d09ad904c6ff93f0c059
0x29460825068f20189b2048f6ebc3de3e482d427e,1789.7344181998997,489.73441819989955,0,1300,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x29460825068f20189b2048f6ebc3de3e482d427e
0x8d1bf34397d31903320ac0a8fee81b3bb7531537,480,0,0,400,0,80,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x8d1bf34397d31903320ac0a8fee81b3bb7531537
0xab45f68689ecf6b7927774529384b3c559153ce7,16.01156086099935,16.01156086099935,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xab45f68689ecf6b7927774529384b3c559153ce7
