Record ID,Update ID,Proposal ID,Proposal type,Proposal category,Financial category,Description,Amount,Token,Receiver,Link
95,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Team Compensation,PM Compensation,2000,DAI,0xBC3FEa1A0DD32510D875dA88c9d61D3E87008B03,https://etherscan.io/tx/0x6c33dfb9e5ae9cbcd567a7217ea5e99cd05c4ad1ec740a29756c1bf6698d2566
96,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Team Compensation,PM Compensation,2000,DAI,0xBC3FEa1A0DD32510D875dA88c9d61D3E87008B03,https://etherscan.io/tx/0x6c33dfb9e5ae9cbcd567a7217ea5e99cd05c4ad1ec740a29756c1bf6698d2566
97,7b0ab4dd-9ece-413e-8b5e-76f4671797bf,531a102b-e4b8-4ed3-8ccc-9aa30bfb7992,grant,Social Media Content,Team Compensation,Monthly salary to copywrite-design-distribute contents and pay for the design softwares,2502,MANA,0x531aA0845cF473A55BB5bc8cda5E04Ea5B27C726,https://etherscan.io/tx/0x74a3ba020abcf9b1c37cf874072a4b5a8e3af00ddfc704e22286b10629a45689
98,9a755d30-577f-11ee-928e-f3cf6b63fb15,122c02b0-4b38-11ee-8dc1-47e81c0c49b1,grant,Platform,Team Compensation,Developers and Tools,42500,USD,0x4e54dA189F2eC8e3704051df5D694dd9500D88AB,https://etherscan.io/tx/0x0a8da592f1b35406c74618f6a294a43a2e5ce9cce177ef3283baaff5ea7c9fea
99,b023989f-28c4-4297-ac3f-7c4ee5187bc3,cb04d870-5ff6-11ee-af3f-d9f6b00b3bf3,grant,Platform,Team Compensation,(December) Develop and mantain bevy-explorer,11812,DAI,0x85bc980eb632434c562414791146cc86cea12c51,https://etherscan.io/tx/0x2b4dbd3816b8561f6337d48a8abbab32301f57159a0d2b8e20cc511426257422
100,b023989f-28c4-4297-ac3f-7c4ee5187bc3,cb04d870-5ff6-11ee-af3f-d9f6b00b3bf3,grant,Platform,Team Compensation,(December) Develop and mantain godot-explorer,10535,DAI,0x6db12e73904eb12f9c40b7d995b2a870254b3625,https://etherscan.io/tx/0x2b4dbd3816b8561f6337d48a8abbab32301f57159a0d2b8e20cc511426257422
101,b023989f-28c4-4297-ac3f-7c4ee5187bc3,cb04d870-5ff6-11ee-af3f-d9f6b00b3bf3,grant,Platform,Team Compensation,(December) Develop and mantain godot-explorer,10500,DAI,0xbcae59ff0aa916b6c38adde712c39da3eb5443c4,https://etherscan.io/tx/0x2b4dbd3816b8561f6337d48a8abbab32301f57159a0d2b8e20cc511426257422
102,b023989f-28c4-4297-ac3f-7c4ee5187bc3,cb04d870-5ff6-11ee-af3f-d9f6b00b3bf3,grant,Platform,Team Compensation,(December) Develop and mantain scene-explorer-tests,1200,DAI,0xae185e420a7b0e82963f6edb80078d0ce9d40b40,https://etherscan.io/tx/0x2b4dbd3816b8561f6337d48a8abbab32301f57159a0d2b8e20cc511426257422
104,6f3a9462-eb5d-49e0-aa6c-ba3c6d0fa8cb,5a5c472b-0ed2-4086-b7fc-22e37b4ad39c,grant,Core Unit,Team Compensation,Fehz Compensation - (December),5500,DAI,0x2438651577Ac49342074a18eb199BB8C6E92cFEa,https://etherscan.io/tx/0x0ce577fb0f90fdd90b0b35fd577fb4951256684384df1d1f31ae7c17c738d168
105,6f3a9462-eb5d-49e0-aa6c-ba3c6d0fa8cb,5a5c472b-0ed2-4086-b7fc-22e37b4ad39c,grant,Core Unit,Team Compensation,Fractilians - Compensation (December),5500,DAI,0x8b7c37671f37Db95e9d84714f7A4464d552aa0EA,https://etherscan.io/tx/0x1f141b9fa424dcefb35ae7af4971a7383d955d526985dfb6f36847735fb4630d
106,6f3a9462-eb5d-49e0-aa6c-ba3c6d0fa8cb,5a5c472b-0ed2-4086-b7fc-22e37b4ad39c,grant,Core Unit,Team Compensation,Ivey - Compensation (December),750,DAI,0x5c575fc796056b6427733077aca4a5c7d10ca6d0,https://etherscan.io/tx/0x90b184555a7a2377737e50ed867b5bc1a62a0b2ecb7b1ee0ef1402370413dcac
107,6f3a9462-eb5d-49e0-aa6c-ba3c6d0fa8cb,5a5c472b-0ed2-4086-b7fc-22e37b4ad39c,grant,Core Unit,Team Compensation,Kanwulf - Compensation (December),750,DAI,0x1bc1ab328dbfef58b9600184541aa0056c4631f7,https://etherscan.io/tx/0x32e8e09c5800ebd33b8408de0d4194ec4e85d238ac9e7ab9c7a57bcbd680dbf3
108,3fc299c1-8aa8-4746-a908-a25a1ea3b06b,aebc4db6-d96c-4c4c-b2c0-2a2d0003e64d,grant,Platform,Team Compensation,Full Stack Dev Monthly,2000,DAI,0xD58607F5323e4966a8c871E155Cee9489CF8c469,
109,3fc299c1-8aa8-4746-a908-a25a1ea3b06b,aebc4db6-d96c-4c4c-b2c0-2a2d0003e64d,grant,Platform,Tools & Services,Website Hosting,26,DAI,0xD58607F5323e4966a8c871E155Cee9489CF8c469,
110,a8d85a54-4c06-11ee-a2e0-b78adf7d068d,ca7784f0-3988-11ee-aec9-fb54fc0c7896,grant,Platform,Team Compensation,month 5,28333,DAI,0xe96f1c6B08b1d932Df11E78A040a75B546ab8d2B,https://etherscan.io/tx/0xc37ae5b8b15096681eaea5fec342eef9492e1cbe08bdb27e4cb729b1eebbd166
111,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Voxel Architects Operations & Strategy,1000,DAI,0x42B15B64B6D1638eD91A86CAC30a36313b6C8C5d,https://etherscan.io/tx/0x2da8325e24fd2b6ac90b70305c93f3d7e9fb1bddfefbb392d292a3048231fbd7
112,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Voxel Architects Project Manager,2717,DAI,0x42B15B64B6D1638eD91A86CAC30a36313b6C8C5d,https://etherscan.io/tx/0x2da8325e24fd2b6ac90b70305c93f3d7e9fb1bddfefbb392d292a3048231fbd7
113,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Voxel Architects Designer,2445,DAI,0x42B15B64B6D1638eD91A86CAC30a36313b6C8C5d,https://etherscan.io/tx/0x2da8325e24fd2b6ac90b70305c93f3d7e9fb1bddfefbb392d292a3048231fbd7
114,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Voxel Architects Modeller 1,1350,DAI,0x42B15B64B6D1638eD91A86CAC30a36313b6C8C5d,https://etherscan.io/tx/0x2da8325e24fd2b6ac90b70305c93f3d7e9fb1bddfefbb392d292a3048231fbd7
115,6b466fbd-2a87-4c64-9f77-ce5481c7ff00,6dfe5a60-6222-11ee-921b-3b664a734355,grant,In-World Content,Team Compensation,Voxel Architects Modeller 2,1629,DAI,0x42B15B64B6D1638eD91A86CAC30a36313b6C8C5d,https://etherscan.io/tx/0x2da8325e24fd2b6ac90b70305c93f3d7e9fb1bddfefbb392d292a3048231fbd7
